player,team,slot,injury,pos_row,depth
Thomas Fidone II,NYG,TE4,0,TE,4
Patrick Ricard,NYG,FB1,1,FB,1
Jalen Hurts,PHI,QB1,1,QB,1
Andy Dalton,PHI,QB2,1,QB,2
Tanner McKee,PHI,QB3,1,QB,3
Cole Payton,PHI,QB4,1,QB,4
Saquon Barkley,PHI,RB1,1,RB,1
Tank Bigsby,PHI,RB2,1,RB,2
Will Shipley,PHI,RB3,1,RB,3
Dameon Pierce,PHI,RB4,1,RB,4
DeVonta Smith,PHI,WR1,1,WR1,1
Hollywood Brown,PHI,WR4+,1,WR1,2
Johnny Wilson,PHI,WR4+,1,WR1,3
Samori Toure,PHI,WR4+,1,WR1,4
Makai Lemon,PHI,WR2,1,WR2,1
Elijah Moore,PHI,WR4+,1,WR2,2
Britain Covey,PHI,WR4+,1,WR2,3
Danny Gray,PHI,WR4+,1,WR2,4
Dontayvion Wicks,PHI,WR3,1,WR3,1
Darius Cooper,PHI,WR4+,1,WR3,2
Quez Watkins,PHI,WR4+,1,WR3,3
Erik Ezukanma,PHI,WR4+,1,WR3,4
Dallas Goedert,PHI,TE1,1,TE,1
Eli Stowers,PHI,TE2,0,TE,2
Grant Calcaterra,PHI,TE3,1,TE,3
Johnny Mundt,PHI,TE4,1,TE,4
Jayden Daniels,WAS,QB1,1,QB,1
Marcus Mariota,WAS,QB2,1,QB,2
Athan Kaliakmanis,WAS,QB3,1,QB,3
Sam Hartman,WAS,QB4,1,QB,4
Jacory Croskey-Merritt,WAS,RB1,1,RB,1
Rachaad White,WAS,RB2,1,RB,2
Kaytron Allen,WAS,RB3,1,RB,3
Jerome Ford,WAS,RB4,1,RB,4
Terry McLaurin,WAS,WR1,1,WR1,1
Treylon Burks,WAS,WR4+,1,WR1,2
Van Jefferson,WAS,WR4+,1,WR1,3
Jaden Bradley,WAS,WR4+,1,WR1,4
Luke McCaffrey,WAS,WR2,1,WR2,1
Dyami Brown,WAS,WR4+,1,WR2,2
Jacoby Jones,WAS,WR4+,1,WR2,3
Chris Hilton Jr.,WAS,WR4+,1,WR2,4
Antonio Williams,WAS,WR3,1,WR3,1
Jaylin Lane,WAS,WR4+,1,WR3,2
Nick Nash,WAS,WR4+,1,WR3,3
Chig Okonkwo,WAS,TE1,1,TE,1
John Bates,WAS,TE2,1,TE,2
Ben Sinnott,WAS,TE3,1,TE,3
Colson Yankoff,WAS,TE4,1,TE,4
